iter	Passed	Remaining
483	657	701
484	660	701
485	665	703
486	666	702
487	668	701
488	669	699
489	672	699
490	674	698
491	675	696
492	677	697
493	678	694
494	679	693
495	681	692
496	682	690
497	682	688
498	683	685
499	683	683
500	684	681
501	684	679
502	685	676
503	685	674
504	686	672
505	686	670
506	687	668
507	688	666
508	688	664
509	689	662
510	689	660
511	693	660
512	694	659
513	695	657
514	697	656
515	698	654
516	699	653
517	700	651
518	700	649
519	701	647
520	702	645
521	703	644
522	704	642
523	705	641
524	707	640
525	708	638
526	709	636
527	709	634
528	710	632
529	711	630
530	711	628
531	712	626
532	712	624
533	713	622
534	714	621
535	715	619
536	716	617
537	716	615
538	717	613
539	724	617
540	727	616
541	727	615
542	728	613
543	729	611
544	729	609
545	730	607
546	730	605
547	731	603
548	732	601
549	733	599
550	734	598
551	738	599
552	740	598
553	740	596
554	741	594
555	742	592
556	742	590
557	743	589
558	744	587
559	745	585
560	745	583
561	746	581
562	748	580
563	750	579
564	751	578
565	754	578
566	754	576
567	755	574
568	755	572
569	756	570
570	757	568
571	757	566
572	759	565
573	759	563
574	760	561
575	761	560
576	761	558
577	762	556
578	763	555
579	768	556
580	770	555
581	770	553
582	771	551
583	772	550
584	773	548
585	774	547
586	775	545
587	776	543
588	777	542
589	778	540
590	782	541
591	783	540
592	785	539
593	786	537
594	787	535
595	788	534
596	789	532
597	789	530
598	790	529
599	790	527
600	792	525
601	793	524
602	795	523
603	796	522
604	798	521
605	798	519
606	799	517
607	799	515
608	800	513
609	800	511
610	801	510
611	801	508
612	802	506
613	803	504
614	804	503
615	804	501
616	805	500
617	806	498
618	807	497
619	808	495
620	809	494
621	810	492
622	811	490
623	811	489
624	812	487
625	813	485
626	813	484
627	814	482
628	814	480
629	815	478
630	815	477
631	816	475
632	817	473
633	817	472
634	818	470
635	818	468
636	819	467
637	821	465
638	821	464
639	822	462
640	823	461
641	823	459
642	824	457
643	824	456
644	825	454
645	826	452
646	826	450
647	826	449
648	827	447
649	827	445
650	828	444
651	829	442
652	829	440
653	830	439
654	831	437
655	831	436
656	832	434
657	833	433
658	833	431
659	834	430
660	835	428
661	836	427
662	837	425
663	838	424
664	839	423
665	840	421
666	841	420
667	842	418
668	842	416
669	843	415
670	843	413
671	844	412
672	844	410
673	845	408
674	845	407
675	846	405
676	847	404
677	853	405
678	856	404
679	856	403
680	857	401
681	858	400
682	860	399
683	861	397
684	861	396
685	862	394
686	864	393
687	865	392
688	866	390
689	866	389
690	867	387
691	869	386
692	869	385
693	870	383
694	871	382
695	871	380
696	872	379
697	873	377
698	873	376
699	874	374
700	874	373
701	875	371
702	875	370
703	876	368
704	877	367
705	878	365
706	880	364
707	881	363
708	882	362
709	882	360
710	883	359
711	883	357
712	884	355
713	884	354
714	885	352
715	886	351
716	886	350
717	887	348
718	888	347
719	889	345
720	889	344
721	890	342
722	891	341
723	892	340
724	894	339
725	895	337
726	896	336
727	897	335
728	897	333
729	898	332
730	898	330
731	899	329
732	900	327
733	900	326
734	901	324
735	901	323
736	902	321
737	902	320
738	903	318
739	904	317
740	904	316
741	905	314
742	906	313
743	907	312
744	908	311
745	909	309
746	910	308
747	911	306
748	911	305
749	912	304
750	912	302
751	913	301
752	914	300
753	915	298
754	916	297
755	917	295
756	917	294
757	918	293
758	918	291
759	919	290
760	920	289
761	921	287
762	922	286
763	923	285
764	924	283
765	925	282
766	925	281
767	926	279
768	926	278
769	927	277
770	929	276
771	930	274
772	931	273
773	931	272
774	932	270
775	932	269
776	933	267
777	934	266
778	935	265
779	936	264
780	937	262
781	938	261
782	938	260
783	940	259
784	941	257
785	941	256
786	942	254
787	944	254
788	946	253
789	947	251
790	948	250
791	948	249
792	950	248
793	952	246
794	953	245
795	953	244
796	954	243
797	955	241
798	955	240
799	956	239
800	956	237
801	957	236
802	957	234
803	958	233
804	958	232
805	959	230
806	960	229
807	960	228
808	961	226
809	962	225
810	963	224
811	965	223
812	965	222
813	966	220
814	967	219
815	967	218
816	968	216
817	969	215
818	969	214
819	970	213
820	971	211
821	972	210
822	973	209
823	974	208
824	974	206
825	975	205
826	977	204
827	978	203
828	979	202
829	981	200
830	981	199
831	982	198
832	983	197
833	983	195
834	984	194
835	984	193
836	985	191
837	985	190
838	986	189
839	987	188
840	988	186
841	988	185
842	989	184
843	990	183
844	991	181
845	992	180
846	993	179
847	994	178
848	995	177
849	995	175
850	996	174
851	998	173
852	999	172
853	1000	171
854	1000	169
855	1001	168
856	1002	167
857	1002	165
858	1003	164
859	1003	163
860	1004	162
861	1005	160
862	1005	159
863	1006	158
864	1006	157
865	1007	155
866	1007	154
867	1013	154
868	1014	152
869	1014	151
870	1014	150
871	1015	149
872	1015	147
873	1016	146
874	1017	145
875	1017	144
876	1018	142
877	1018	141
878	1019	140
879	1020	139
880	1020	137
881	1021	136
882	1022	135
883	1023	134
884	1024	133
885	1025	131
886	1026	130
887	1027	129
888	1027	128
889	1028	127
890	1028	125
891	1029	124
892	1030	123
893	1031	122
894	1032	121
895	1033	119
896	1033	118
897	1035	117
898	1036	116
899	1036	115
900	1039	114
901	1040	113
902	1041	111
903	1042	110
904	1043	109
905	1043	108
906	1044	107
907	1044	105
908	1045	104
